date,vaccine,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,mean7d,inzmean7d,prct,prctSumTotal,prct_mean7d,geoRegion,type,type_variant,data_completeness,version
2021-05-28,moderna,fully_vaccinated,0,1,918832,0,NA,0.14,0.02,NA,1.03,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-05-29,moderna,fully_vaccinated,1,2,934753,0.11,NA,0.29,0.03,100,2.04,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-05-30,moderna,fully_vaccinated,0,2,940654,0,NA,0.29,0.03,NA,2.04,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-05-31,moderna,fully_vaccinated,0,2,964370,0,NA,0.29,0.03,NA,2.04,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-06-01,moderna,fully_vaccinated,1,3,993169,0.1,NA,0.29,0.03,100,3.03,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-06-02,moderna,fully_vaccinated,0,3,1025606,0,NA,0.14,0.01,NA,3.03,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-06-03,moderna,fully_vaccinated,0,3,1057507,0,NA,0.29,0.03,NA,3.03,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-06-04,moderna,fully_vaccinated,0,3,1095346,0,NA,0.29,0.03,NA,3.03,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-06-05,moderna,fully_vaccinated,0,3,1113581,0,NA,0.14,0.01,0,3,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-06-06,moderna,fully_vaccinated,1,4,1121521,0.09,NA,0.14,0.01,100,3.96,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-06-07,moderna,fully_vaccinated,0,4,1156105,0,NA,0.29,0.03,NA,3.96,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-06-08,moderna,fully_vaccinated,0,4,1196363,0,NA,0.29,0.02,NA,3.96,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-06-09,moderna,fully_vaccinated,0,4,1235163,0,NA,0.29,0.02,0,3.92,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-06-10,moderna,fully_vaccinated,1,5,1266892,0.08,NA,0.14,0.01,100,4.85,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-06-11,moderna,fully_vaccinated,0,5,1302769,0,NA,0.14,0.01,0,4.81,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-06-12,moderna,fully_vaccinated,0,5,1323387,0,NA,0.14,0.01,NA,4.81,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
