geoRegion,datum,entries,entries_pos,entries_neg,sumTotal,freq,prct,anteil_pos,anteil_pos_diff,anteil_pos_all,pop,inz_entries,inzsumTotal,entries_diff_abs,entries_diff_inz,prct_diff,entries_diff_pct,type,version,datum_unit,datum_dboardformated,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_phase4,timeframe_phase5,timeframe_28d,timeframe_14d,nachweismethode,type_variant
CH04,202103,9574,628,8946,115378,1,100,6.6,-2.0999999999999996,11.3,1553423,616.32,7427.34,1041,67.02,0,12.2,COVID19Test,2021-12-02_07-48-44,isoweek,2021-03,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
CH05,202103,6813,578,6235,89388,1,100,8.5,-1.8000000000000007,12.7,1193069,571.05,7492.27,501,41.99,0,7.9,COVID19Test,2021-12-02_07-48-44,isoweek,2021-03,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
CH06,202103,4281,359,3922,35482,1,100,8.4,-2.9000000000000004,13,825745,518.44,4296.97,520,62.97,0,13.8,COVID19Test,2021-12-02_07-48-44,isoweek,2021-03,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
CH07,202103,1003,33,970,11429,1,100,3.3,-1.2000000000000002,12.9,350986,285.77,3256.26,-145,-41.31,0,-12.6,COVID19Test,2021-12-02_07-48-44,isoweek,2021-03,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
CH01,202103,25450,2310,23140,796726,1,100,9.1,-0.5999999999999996,15.5,1669608,1524.31,47719.34,790,47.32,0,3.2,COVID19Test,2021-12-02_07-48-44,isoweek,2021-03,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PCR,
CH02,202103,21405,1986,19419,638360,1,100,9.3,-2.3999999999999986,14.6,1895693,1129.14,33674.23,2,0.11,0,0,COVID19Test,2021-12-02_07-48-44,isoweek,2021-03,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PCR,
CH03,202103,17654,1444,16210,436497,1,100,8.2,-2.700000000000001,10.9,1181776,1493.85,36935.68,2404,203.42,0,15.8,COVID19Test,2021-12-02_07-48-44,isoweek,2021-03,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PCR,
CH04,202103,21222,2017,19205,653531,1,100,9.5,-3.0999999999999996,10.9,1553423,1366.14,42070.38,3338,214.88,0,18.7,COVID19Test,2021-12-02_07-48-44,isoweek,2021-03,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PCR,
CH05,202103,16555,1503,15052,371812,1,100,9.1,-4.6,14.3,1193069,1387.6,31164.33,4372,366.45,0,35.9,COVID19Test,2021-12-02_07-48-44,isoweek,2021-03,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PCR,
CH06,202103,8711,1176,7535,255976,1,100,13.5,-4,14.1,825745,1054.93,30999.4,-272,-32.94,0,-3,COVID19Test,2021-12-02_07-48-44,isoweek,2021-03,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PCR,
CH07,202103,6711,449,6262,151527,1,100,6.7,-4.3999999999999995,15.5,350986,1912.04,43171.81,400,113.96,0,6.3,COVID19Test,2021-12-02_07-48-44,isoweek,2021-03,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PCR,
CH01,202104,10195,908,9287,111173,1,100,8.9,-2.299999999999999,14,1669608,610.62,6658.63,725,43.42,0,7.7,COVID19Test,2021-12-02_07-48-44,isoweek,2021-04,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
CH02,202104,8218,546,7672,102980,1,100,6.6,-1.3000000000000007,11.5,1895693,433.51,5432.31,-428,-22.58,0,-5,COVID19Test,2021-12-02_07-48-44,isoweek,2021-04,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
CH03,202104,4935,316,4619,50958,1,100,6.4,-2.1999999999999993,15.4,1181776,417.59,4311.98,258,21.83,0,5.5,COVID19Test,2021-12-02_07-48-44,isoweek,2021-04,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
CH04,202104,10982,520,10462,126360,1,100,4.7,-1.8999999999999995,10.7,1553423,706.95,8134.29,1408,90.63,0,14.7,COVID19Test,2021-12-02_07-48-44,isoweek,2021-04,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
CH05,202104,6727,418,6309,96115,1,100,6.2,-2.3,12.2,1193069,563.84,8056.11,-86,-7.21,0,-1.3,COVID19Test,2021-12-02_07-48-44,isoweek,2021-04,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
CH06,202104,4493,238,4255,39975,1,100,5.3,-3.1000000000000005,12.1,825745,544.11,4841.08,212,25.67,0,5,COVID19Test,2021-12-02_07-48-44,isoweek,2021-04,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
CH07,202104,1210,47,1163,12639,1,100,3.9,0.6000000000000001,12,350986,344.74,3601,207,58.97,0,20.6,COVID19Test,2021-12-02_07-48-44,isoweek,2021-04,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
CH01,202104,27256,2248,25008,823982,1,100,8.2,-0.9000000000000004,15.2,1669608,1632.48,49351.82,1806,108.17,0,7.1,COVID19Test,2021-12-02_07-48-44,isoweek,2021-04,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PCR,
CH02,202104,21576,1949,19627,659936,1,100,9,-0.3000000000000007,14.4,1895693,1138.16,34812.39,171,9.02,0,0.8,COVID19Test,2021-12-02_07-48-44,isoweek,2021-04,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PCR,
CH03,202104,18021,1157,16864,454518,1,100,6.4,-1.799999999999999,10.7,1181776,1524.91,38460.59,367,31.06,0,2.1,COVID19Test,2021-12-02_07-48-44,isoweek,2021-04,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PCR,
